CreatedDate,CreatedTime,Symbol,Type,Volume,Price,Side,CallPut,Strike,Spot,Premium,ExpirationDate,Color,ImpliedVolatility,Dte,ER,StockEtf,Sector,Uoa,Weekly,MktCap,OI
7/24/2026,9:49:55 AM,WDC,BLOCK,5,51.8,,CALL,960,536.75,25900,1/15/2027,MAGENTA,0,175,F,STOCK,Information Technology,T,F,252521000000,21
7/24/2026,9:49:58 AM,HOOD,ML/,165,7.95,,PUT,99,96.9,131175,8/7/2026,MAGENTA,0,14,F,STOCK,Financials,T,T,95192000000,96
7/24/2026,9:50:10 AM,LLY,BLOCK,70,2.85,,CALL,1500,1196.09,19950,8/21/2026,MAGENTA,0,28,F,STOCK,Health Care,T,F,1037874000000,145
7/24/2026,9:50:12 AM,WDC,BLOCK,7,51.2,,CALL,960,536.75,35840,1/15/2027,MAGENTA,0,175,F,STOCK,Information Technology,T,F,252521000000,21
7/24/2026,9:50:17 AM,LRCX,SWEEP,98,3.2459,,CALL,405,315.63,31810,8/7/2026,MAGENTA,0,14,F,STOCK,Information Technology,T,T,512158000000,20
7/24/2026,9:51:35 AM,WDC,BLOCK,7,49.8,,CALL,960,537.815,34860,1/15/2027,MAGENTA,0,175,F,STOCK,Information Technology,T,F,252521000000,21
7/24/2026,9:55:05 AM,LRCX,SWEEP,93,4.2514,,CALL,510,312.565,39538,9/18/2026,MAGENTA,0,56,F,STOCK,Information Technology,T,F,512158000000,48
7/24/2026,9:56:07 AM,WDC,BLOCK,110,46.1407,B,CALL,555,529.6,507548,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,22
7/24/2026,9:57:10 AM,HOOD,ML/,3691,3.38,,CALL,101,95.18,1247558,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,235
7/24/2026,9:57:10 AM,HOOD,ML/,3691,2.1,,PUT,86,95.18,775110,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,F,T,95192000000,325
7/24/2026,9:57:35 AM,LLY,SWEEP,26,61.4673,,PUT,1250,1195,159815,7/31/2026,MAGENTA,0,7,F,STOCK,Health Care,T,T,1037874000000,14
7/24/2026,9:59:57 AM,ASML,BLOCK,10,63,,CALL,1765,1766.44,63000,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,758742000000,4
7/24/2026,10:00:08 AM,WDC,SWEEP,28,17.35,,PUT,430,530.38,48580,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,6
7/24/2026,10:03:14 AM,LLY,ML/,8,56.395,,PUT,1185,1198,45116,8/28/2026,MAGENTA,0,35,F,STOCK,Health Care,T,T,1037874000000,7
7/24/2026,10:04:59 AM,LLY,ML/,7,52.0243,,PUT,1185,1198.35,36417,8/21/2026,MAGENTA,0,28,F,STOCK,Health Care,T,F,1037874000000,14
7/24/2026,10:05:46 AM,LRCX,BLOCK,50,27.3,A,CALL,300,311.77,136500,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,79
7/24/2026,10:07:13 AM,CRWV,BLOCK,20,18.95,,CALL,60,75.095,37900,8/28/2026,MAGENTA,0,35,F,STOCK,Information Technology,F,T,49810000000,6
7/24/2026,10:09:55 AM,LLY,ML/,21,52.1,,PUT,1185,1197.81,109410,8/21/2026,MAGENTA,0,28,F,STOCK,Health Care,T,F,1037874000000,14
7/24/2026,10:10:06 AM,PLTR,BLOCK,80,1.31,,PUT,40,122.85,10480,9/17/2027,MAGENTA,0,420,F,STOCK,Information Technology,F,F,286478000000,10
7/24/2026,10:10:24 AM,HOOD,ML/,100,1.88,,PUT,86,95.67,18800,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,325
7/24/2026,10:14:08 AM,LRCX,BLOCK,50,29,,CALL,300,311.77,145000,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,79
7/24/2026,10:17:10 AM,LRCX,SWEEP,54,26.7333,,CALL,300,311.77,144360,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,79
7/24/2026,10:18:58 AM,HOOD,SWEEP,1363,3.2,,CALL,155,95.67,436165,11/20/2026,MAGENTA,0,119,F,STOCK,Financials,T,F,95192000000,194
7/24/2026,10:19:58 AM,HOOD,ML/,50,2.38,,PUT,87,95.67,11900,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,219
7/24/2026,10:21:35 AM,LRCX,BLOCK,15,27,,CALL,300,311.77,40500,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,79
7/24/2026,10:21:40 AM,LRCX,BLOCK,27,27,,CALL,300,311.77,72900,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,79
7/24/2026,10:25:49 AM,LRCX,ML/,1834,8.57,,CALL,342.5,311.77,1571738,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,12
7/24/2026,10:25:49 AM,LRCX,ML/,1834,11.51,,CALL,332.5,311.77,2110934,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,F,T,512158000000,23
7/24/2026,10:26:43 AM,LRCX,ML/,24,11.4792,B,CALL,332.5,311.77,27550,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,23
7/24/2026,10:26:49 AM,HOOD,BLOCK,50,7.45,,CALL,97,95.67,37250,8/21/2026,MAGENTA,0,28,F,STOCK,Financials,F,F,95192000000,3
7/24/2026,10:28:45 AM,HOOD,ML/,580,3.1571,A,CALL,101,95.67,183110,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,235
7/24/2026,10:28:45 AM,HOOD,ML/,580,4.58,A,CALL,97,95.67,265640,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,217
7/24/2026,10:32:22 AM,PLTR,ML/,2699,1.87,,PUT,119,122.85,504713,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,286478000000,412
7/24/2026,10:32:22 AM,PLTR,ML/,2699,0.54,,PUT,112,122.85,145746,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,286478000000,573
7/24/2026,10:33:48 AM,PLTR,ML/,237,1.0167,,PUT,116,122.92,24095,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,286478000000,105
7/24/2026,10:33:55 AM,WDC,SWEEP,197,13.4982,,CALL,580,525.75,265915,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,252521000000,273
7/24/2026,10:39:56 AM,ASML,ML/,160,60.42,,PUT,1760,1768,966720,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,758742000000,18
7/24/2026,10:40:32 AM,WDC,BLOCK,5,50,,PUT,552.5,527.2,25000,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,F,T,252521000000,1
7/24/2026,10:41:03 AM,PLTR,ML/,44,7.15,,CALL,130,123.117,31460,8/28/2026,MAGENTA,0,35,F,STOCK,Information Technology,T,T,286478000000,230
7/24/2026,10:41:47 AM,PLTR,BLOCK,66,7.1,A,CALL,130,123.117,46860,8/28/2026,MAGENTA,0,35,F,STOCK,Information Technology,T,T,286478000000,230
7/24/2026,10:41:57 AM,LRCX,ML/,1080,8.35,,PUT,277.5,308.22,901796,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,F,T,512158000000,0
7/24/2026,10:41:57 AM,LRCX,ML/,1080,12.9801,,CALL,322.5,308.22,1401850,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,120
7/24/2026,10:43:56 AM,LRCX,SWEEP,290,12.1,,CALL,325,307.21,350900,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,57
7/24/2026,10:46:09 AM,ASML,BLOCK,3,963.1,A,CALL,860,1762.29,288930,6/17/2027,MAGENTA,0,328,F,STOCK,Information Technology,F,T,758742000000,0
7/24/2026,10:46:45 AM,WDC,ML/,87,92.1664,B,CALL,460,527.2,801848,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,102
7/24/2026,10:47:06 AM,CRWV,ML/,30,9.08,,PUT,82,74.755,27240,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,49810000000,118
7/24/2026,10:47:13 AM,WDC,ML/,50,92.4242,A,CALL,460,527.2,462121,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,102
7/24/2026,10:47:18 AM,WDC,ML/,24,91.8758,A,CALL,460,527.2,220502,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,102
7/24/2026,10:47:21 AM,WDC,ML/,10,92.25,A,CALL,460,527.2,92250,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,102
7/24/2026,10:47:23 AM,WDC,ML/,15,92.3953,A,CALL,460,527.2,138593,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,102
7/24/2026,10:47:33 AM,HOOD,ML/,58,45.93,,CALL,50,94.23,266394,11/20/2026,MAGENTA,0,119,F,STOCK,Financials,F,F,95192000000,0
7/24/2026,10:47:34 AM,WDC,ML/,51,92.6475,A,CALL,460,527.2,472502,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,102
7/24/2026,10:48:00 AM,LLY,ML/,25,57.17,,CALL,1195,1202.5,142925,8/14/2026,MAGENTA,0,21,F,STOCK,Health Care,T,T,1037874000000,6
7/24/2026,10:48:14 AM,WDC,ML/,50,91.8098,A,CALL,460,527.2,459049,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,102
7/24/2026,10:48:24 AM,LLY,ML/,7,53.35,,PUT,1185,1202.5,37345,8/21/2026,MAGENTA,0,28,F,STOCK,Health Care,T,F,1037874000000,14
7/24/2026,10:48:24 AM,LLY,ML/,7,57.4,,PUT,1185,1202.5,40180,8/28/2026,MAGENTA,0,35,F,STOCK,Health Care,T,T,1037874000000,7
7/24/2026,10:48:39 AM,WDC,ML/,50,91.7508,A,CALL,460,527.2,458754,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,102
7/24/2026,10:48:59 AM,WDC,ML/,14,91.32,A,CALL,460,527.2,127848,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,102
7/24/2026,10:49:03 AM,WDC,ML/,36,91.6731,A,CALL,460,527.2,330023,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,102
7/24/2026,10:49:12 AM,WDC,ML/,50,92.393,A,CALL,460,527.2,461965,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,102
7/24/2026,10:51:04 AM,WDC,ML/,34,19.0971,,PUT,435,527.2,64930,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,252521000000,2
7/24/2026,10:51:24 AM,PLTR,SWEEP,959,5.5,A,CALL,120,123.117,527450,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,286478000000,747
7/24/2026,11:00:05 AM,CRWV,BLOCK,10,44.9,,PUT,120,74.755,44900,8/7/2026,MAGENTA,0,14,F,STOCK,Information Technology,T,T,49810000000,19
7/24/2026,11:00:16 AM,HOOD,ML/,20,17.4,,CALL,80,94.23,34800,8/28/2026,MAGENTA,0,35,F,STOCK,Financials,T,T,95192000000,8
7/24/2026,11:01:01 AM,LRCX,SWEEP,47,27,B,CALL,300,308.22,126900,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,79
7/24/2026,11:02:31 AM,HOOD,BLOCK,48,6.75,,CALL,94,94.23,32400,8/7/2026,MAGENTA,0,14,F,STOCK,Financials,T,T,95192000000,24
7/24/2026,11:08:20 AM,WDC,ML/,70,93.3393,,PUT,490,527.2,653375,11/20/2026,MAGENTA,0,119,F,STOCK,Information Technology,F,F,252521000000,54
7/24/2026,11:08:20 AM,WDC,SWEEP,46,78.2507,,PUT,460,527.2,359953,11/20/2026,MAGENTA,0,119,F,STOCK,Information Technology,F,F,252521000000,0
7/24/2026,11:09:56 AM,PLTR,SWEEP,482,4.05,B,PUT,110,123.117,195210,8/28/2026,MAGENTA,0,35,F,STOCK,Information Technology,T,T,286478000000,39
7/24/2026,11:10:35 AM,WDC,BLOCK,36,13.1406,,CALL,580,527.2,47306,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,252521000000,273
7/24/2026,11:10:53 AM,HOOD,ML/,2000,2.79,,CALL,101,94.23,558000,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,235
7/24/2026,11:10:53 AM,HOOD,ML/,2000,4.13,,CALL,97,94.23,826000,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,217
7/24/2026,11:10:59 AM,PLTR,BLOCK,4,71.49,,PUT,195,123.117,28596,8/28/2026,MAGENTA,0,35,F,STOCK,Information Technology,F,T,286478000000,1
7/24/2026,11:11:07 AM,WDC,ML/,14,27.53,,PUT,517.5,527.2,38542,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,F,T,252521000000,3
7/24/2026,11:14:08 AM,ASML,BLOCK,1,362.7,,CALL,2720,1768,36270,6/16/2028,MAGENTA,0,693,F,STOCK,Information Technology,T,F,758742000000,3
7/24/2026,11:14:58 AM,LRCX,ML/,150,61.36,,PUT,280,308.22,920400,3/19/2027,MAGENTA,0,238,F,STOCK,Information Technology,F,F,512158000000,0
7/24/2026,11:15:07 AM,PLTR,SWEEP,1015,6.1,A,CALL,120,123.117,619150,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,286478000000,747
7/24/2026,11:15:33 AM,HOOD,BLOCK,66,10.2,,CALL,150,94.23,67320,4/16/2027,MAGENTA,0,266,F,STOCK,Financials,T,F,95192000000,12
7/24/2026,11:15:48 AM,LRCX,BLOCK,23,27,,CALL,300,308.22,62100,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,79
7/24/2026,11:15:49 AM,LRCX,BLOCK,27,27,,CALL,300,308.22,72900,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,79
7/24/2026,11:17:15 AM,LRCX,BLOCK,50,27,A,CALL,300,308.22,135000,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,79
7/24/2026,11:19:41 AM,ASML,BLOCK,10,60,,PUT,1775,1768,60000,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,F,T,758742000000,5
7/24/2026,11:20:02 AM,WDC,SWEEP,32,12.1828,,CALL,690,527.2,38985,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,F,T,252521000000,9
7/24/2026,11:20:14 AM,ASML,BLOCK,8,325.29,A,CALL,1560,1768,260232,10/16/2026,MAGENTA,0,84,F,STOCK,Information Technology,F,F,758742000000,0
7/24/2026,11:20:31 AM,PLTR,ML/,25,23.28,,PUT,147,123.117,58200,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,F,T,286478000000,4
7/24/2026,11:21:43 AM,WDC,SWEEP,50,14.5324,,CALL,580,527.2,72662,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,252521000000,273
7/24/2026,11:22:54 AM,LRCX,BLOCK,20,18.098,,PUT,310,313.288,36196,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,276
7/24/2026,11:28:21 AM,LRCX,BLOCK,50,27,,CALL,300,313,135000,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,512158000000,79
7/24/2026,11:28:59 AM,CRWV,BLOCK,57,3.85,,CALL,87,75.235,21945,8/14/2026,MAGENTA,0,21,F,STOCK,Information Technology,T,T,49810000000,10
7/24/2026,11:31:06 AM,ASML,BLOCK,10,332,,CALL,1450,1768,332000,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,F,T,758742000000,0
7/24/2026,11:34:11 AM,PLTR,ML/,108,8.6307,,PUT,121,124.02,93212,9/4/2026,MAGENTA,0,42,F,STOCK,Information Technology,F,T,286478000000,2
7/24/2026,11:37:23 AM,HOOD,SWEEP,117,3.15,B,CALL,101,95.29,36855,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,235
7/24/2026,11:37:53 AM,HOOD,BLOCK,100,3.1998,A,CALL,101,95.315,31998,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,235
7/24/2026,11:40:21 AM,ASML,ML/,120,5.0267,,PUT,920,1780.84,60320,8/28/2026,MAGENTA,0,35,F,STOCK,Information Technology,F,T,758742000000,2
7/24/2026,11:41:20 AM,HOOD,SWEEP,58,4.6569,BB,CALL,97,95.315,27010,7/31/2026,MAGENTA,0,7,F,STOCK,Financials,T,T,95192000000,217
7/24/2026,11:42:19 AM,CRWV,BLOCK,140,3.15,,CALL,78,75.555,44100,7/31/2026,MAGENTA,0,7,F,STOCK,Information Technology,T,T,49810000000,4
7/24/2026,11:42:40 AM,LLY,BLOCK,65,4.5508,,CALL,1255,1199.46,29580,7/31/2026,MAGENTA,0,7,F,STOCK,Health Care,T,T,1037874000000,17
7/24/2026,11:44:40 AM,LLY,BLOCK,9,41.8,,CALL,1230,1201.63,37620,8/14/2026,MAGENTA,0,21,F,STOCK,Health Care,T,T,1037874000000,3
7/24/2026,11:45:29 AM,LLY,ML/,10,151.61,,PUT,1220,1201.63,151610,3/19/2027,MAGENTA,0,238,F,STOCK,Health Care,T,F,1037874000000,22
7/24/2026,11:47:05 AM,LLY,ML/,5,151.41,,PUT,1220,1202.99,75705,3/19/2027,MAGENTA,0,238,F,STOCK,Health Care,T,F,1037874000000,22
7/24/2026,11:47:37 AM,LLY,ML/,2,151.155,B,PUT,1220,1202.99,30231,3/19/2027,MAGENTA,0,238,F,STOCK,Health Care,T,F,1037874000000,22
7/24/2026,11:49:50 AM,ASML,BLOCK,1,308,,PUT,1360,1783.29,30800,12/15/2028,MAGENTA,0,875,F,STOCK,Information Technology,F,F,758742000000,5
