tests.pattern_engine.test_pattern_db_shared_root_guard | test_explicit_allow_shared_root_override_bypasses_the_guard | AssertionError: assert '/data/patterns.db' == '/home/runner...\\patterns.db'
tests.test_breadth_sampler | test_the_report_survives_a_forced_cp1252_stdout_and_writes_a_complete_summary | AssertionError: the report body never reached the file
tests.test_calendar_week_post | test_most_anticipated_card_render_is_pinned | AssertionError: assert '814a9107c457...e7d9627274bdd' == 'f1ae5925d8d8...fc17075e86d0c'
tests.test_closed_table_citations | test_every_closed_table_citation_in_source_resolves_to_a_real_key | AssertionError: these comments send a reader to the manifest for a ruling the manifest does not carry. A citation is the one claim a reader does not check, so a dangling one keeps a decision in a commit message forever. Point it at the real key, state the ruling where it is implemented, or — if it is genuinely not a manifest path — add it to `_NOT_A_KEY` WITH ITS REASON:
tests.test_cold_fetch_pool_protection | test_a_WARM_ticker_serves_normally_and_never_kicks_a_cold_fetch | TypeError: test_a_WARM_ticker_serves_normally_and_never_kicks_a_cold_fetch.<locals>.<lambda>() takes 2 positional arguments but 3 were given
tests.test_concept_vocabulary | test_EVERY_concept_RESOLVES_and_the_grounding_is_LOOKED_UP_not_claimed | AssertionError: {'concepts': [{'attribution': None, 'cites': ['new_52w_high: whether the bar made a new 52-week high'], 'has_sentence'...ry can ground it.', 'word': 'strong'}, ...], 'resolved': 20, 'unresolved': ['leaders pulling back', 'tight base'], ...}
tests.test_concept_vocabulary | test_NO_NUMBER_IN_A_CONCEPTS_TREE_IS_THE_AUTHORS | AssertionError: ('leaders pulling back', '"leaders pulling back" is no longer grounded: the screener no longer ships a starter screen ...e2_breakout\', \'starter_three_weeks_tight\', \'starter_tight_base\', \'starter_uct_50\', \'starter_value_quality\'])')
tests.test_concept_vocabulary | test_a_concept_that_screens_on_an_UNCITED_column_is_refused | assert False is True
tests.test_concept_vocabulary | test_the_vocabularys_own_KEYS_are_NORMALISED_so_two_spellings_cannot_drift | assert False is True
tests.test_concept_vocabulary | test_the_SENTENCE_resolve_HANDS_BACK_IS_THE_FILES_OWN_BYTES | AssertionError: ('leaders pulling back', '"leaders pulling back" is no longer grounded: the screener no longer ships a starter screen ...e2_breakout\', \'starter_three_weeks_tight\', \'starter_tight_base\', \'starter_uct_50\', \'starter_value_quality\'])')
tests.test_concept_vocabulary | test_grounding_report_is_TOTAL_over_the_vocabulary_and_names_the_unresolved | AssertionError: assert 20 == 22
tests.test_definition_concierge | test_the_CORPUS_of_FIRM_PHRASINGS_gets_a_NAMED_OUTCOME_for_EVERY_ROW | AssertionError: 5 of 1325 firm phrasings anchored NOTHING, and every one of them is worded by an artifact this door READS:
tests.test_deploy_watch | test_the_real_boundary_resolve_and_run_railway_status_json_for_real | deploy_watch.RailwayNotFound: `railway` is not on PATH. shutil.which found nothing, so every probe would raise FileNotFoundError and the watch would report nothing while looking healthy.
tests.test_discord_render_goldens | test_a_fresh_capture_matches_the_stored_golden_at_zero_drift | AssertionError: the pre-V2 reply payloads have MOVED — that is the one thing P2 promised would not happen:
tests.test_discord_render_observe | test_no_module_in_the_v2_package_calls_log_exception | AssertionError: assert not {'cold_path_instrument.py': [77, 109], 'cold_path_manifest.py': [73], 'cold_start_guard.py': [117]}
tests.test_document_ocr.TestAClaimNobodyCanServeIsNotProcessing | test_the_member_facing_chain_ends_at_a_navigable_page | assert False is True
tests.test_e2e_sandbox_guard | test_build_environment_produces_a_usable_env_for_a_real_sandbox_root | SystemExit: REFUSING to build a sandbox environment: the census reports 1 shared literal(s) with no env override, so a local backend would still reach the live data root.
tests.test_entitlements_manifest | test_the_checked_in_manifest_IS_what_the_declarations_derive | AssertionError: the checked-in entitlements manifest is not what the declarations derive:
tests.test_flow_aggregate | test_warm_means_this_exact_version_not_merely_something_cached | assert False is True
tests.test_flow_aggregate | test_cold_is_reported_but_is_not_a_failure | AssertionError: assert (False is False and 'bundle_missing' == 'cold'
tests.test_flow_aggregate | test_each_way_it_can_break_names_itself[env2-node_missing] | AssertionError: assert 'bundle_missing' == 'node_missing'
tests.test_flow_aggregate | test_it_alerts_on_TRANSITION_only | assert (0 == 1)
tests.test_flow_aggregate | test_recovery_is_announced_too | assert (0 == 1)
tests.test_flow_classification | test_cream_meta_key | AssertionError: assert ('IREN', 'C',..., '3/19/2027') == ('IREN', 'CAL..., '3/19/2027')
tests.test_flow_prepare | test_warm_is_FALSE_when_the_parts_transport_is_on_but_cold | KeyError: 'warm_whole'
tests.test_flow_prepare | test_CONTROL_with_parts_off_the_whole_D_verdict_is_unchanged | assert (False is True)
tests.test_flow_prepare | test_warm_is_TRUE_once_the_parts_for_the_default_view_are_built | assert (False is True)
tests.test_flow_prepare | test_parts_built_for_a_SUPERSEDED_version_are_not_warm | AssertionError: assert 'stale' in (('bundle_missing'))
tests.test_flow_prepare | test_a_BURST_of_bumps_collapses_to_ONE_roll | AssertionError: 2 rolls from 5 bumps — the loop is observing intermediate versions, so a burst CAN reach the ledger and rolls 2..N would be misfiled as steady-state
tests.test_fundamentals_snapshot_store | test_earnings_table_stale_serves_old_and_schedules_refresh | AssertionError: assert [] == ['ZZSTALE']
tests.test_fundamentals_snapshot_store | test_earnings_table_too_old_rebuilds_synchronously | AssertionError: assert ['ZZOLD'] == ['ZZOLD', 'ZZOLD']
tests.test_gate_box_lock | test_a_DEAD_holder_is_reclaimed_AND_the_reclaim_is_recorded | gate_box_lock.LockHeld: pid 3465 since 2026-09-14T23:00:00 [someone-else] python -u scripts/gate_shards.py --shards 6
tests.test_gate_box_lock | test_R3_a_bypassed_run_under_a_live_holder_still_lands_INCONCLUSIVE_CONTENDED | FileNotFoundError: [Errno 2] No such file or directory: 'powershell'
tests.test_gate_box_lock | test_the_load_reading_NEVER_changes_the_holder_contract | gate_box_lock.LockHeld: pid 999999 since 2026-09-14T23:00:00 [someone-else] python -u scripts/gate_shards.py --shards 6
tests.test_gate_box_lock | test_the_lock_self_check_still_passes_end_to_end | gate_box_lock.LockHeld: pid 999999 since 2026-09-25T03:22:59 [UCT-Dashboard] /opt/hostedtoolcache/Python/3.12.14/x64/lib/python3.12/site-packages/pytest/__main__.py -q -p no:cacheprovider --timeout=120 --timeout-method=signal --junitxml=
tests.test_gitattributes_eol | test_git_grep_cached_and_working_tree_disagree_which_is_the_whole_point | AssertionError: the working tree should carry CRLF on far more files than the index does (index 287, worktree 287) — if not, autocrlf is off on this box and this rail's premise needs re-checking
tests.test_gitattributes_eol | test_every_derived_path_is_declared_text_unset | AssertionError: these blobs are stored with CR and nothing protects them:
tests.test_gitattributes_eol | test_the_declared_list_is_still_the_derived_list | AssertionError: newly qualifying, undeclared: ['app/src/components/chart/engine/ast/pineObjects.js']
tests.test_graph_wire_size | test_stored_response_and_compact_response_bytes | ValueError: compute.graph.outputRoots.out10: expands to 13009 nodes, over the 2048 per-plot ceiling
tests.test_graph_wire_size | test_a_caller_that_does_not_ask_still_gets_the_forest | ValueError: compute.graph.outputRoots.out10: expands to 13009 nodes, over the 2048 per-plot ceiling
tests.test_graph_wire_size | test_compacting_is_lossless_the_program_survives | ValueError: compute.graph.outputRoots.out10: expands to 13009 nodes, over the 2048 per-plot ceiling
tests.test_graph_wire_size | test_a_malformed_stored_graph_is_readable_but_never_expandable | ValueError: compute.graph.outputRoots.out10: expands to 13009 nodes, over the 2048 per-plot ceiling
tests.test_graph_wire_size | test_serialisation_and_parse_cost_of_each_read_shape | ValueError: compute.graph.outputRoots.out10: expands to 13009 nodes, over the 2048 per-plot ceiling
tests.test_implied_backfill.TestFiscalJoin | test_off_calendar_filer_gets_the_right_quarter | TypeError: TestFiscalJoin.providers.<locals>.fake_fmp() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFiscalJoin | test_september_filer_gets_the_right_quarter | TypeError: TestFiscalJoin.providers.<locals>.fake_fmp() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFiscalJoin | test_future_announcements_are_excluded | TypeError: TestFiscalJoin.providers.<locals>.fake_fmp() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFiscalJoin | test_one_quarter_is_never_claimed_twice | TypeError: TestFiscalJoin.test_one_quarter_is_never_claimed_twice.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFiscalJoin | test_distinct_quarters_all_survive | TypeError: TestFiscalJoin.providers.<locals>.fake_fmp() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFiscalJoin | test_a_far_away_period_is_refused_not_least_wrong | TypeError: TestFiscalJoin.test_a_far_away_period_is_refused_not_least_wrong.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFmpIsThePrimaryFiscalSource | test_falls_back_to_finnhub_rather_than_dropping_the_symbol[None-a shrug \u2014 the provider never answered] | TypeError: TestFmpIsThePrimaryFiscalSource.test_falls_back_to_finnhub_rather_than_dropping_the_symbol.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFmpIsThePrimaryFiscalSource | test_falls_back_to_finnhub_rather_than_dropping_the_symbol[fmp_result1-answered, but with no history] | TypeError: TestFmpIsThePrimaryFiscalSource.test_falls_back_to_finnhub_rather_than_dropping_the_symbol.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFmpIsThePrimaryFiscalSource | test_falls_back_to_finnhub_rather_than_dropping_the_symbol[fmp_result2-answered, but the income statement carried no fiscal identity] | TypeError: TestFmpIsThePrimaryFiscalSource.test_falls_back_to_finnhub_rather_than_dropping_the_symbol.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFmpIsThePrimaryFiscalSource | test_an_exception_from_fmp_falls_back_instead_of_escaping | TypeError: TestFmpIsThePrimaryFiscalSource.test_an_exception_from_fmp_falls_back_instead_of_escaping.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFmpIsThePrimaryFiscalSource | test_the_real_fmp_leg_is_wired_up_end_to_end | TypeError: TestFmpIsThePrimaryFiscalSource.test_the_real_fmp_leg_is_wired_up_end_to_end.<locals>.fake_fmp() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFinnhubPacing | test_an_empty_finnhub_response_is_retried_not_accepted | TypeError: TestFinnhubPacing.test_an_empty_finnhub_response_is_retried_not_accepted.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFinnhubPacing | test_gives_up_after_the_attempt_budget | TypeError: TestFinnhubPacing.test_gives_up_after_the_attempt_budget.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFinnhubPacing | test_no_finnhub_call_at_all_when_fmp_has_nothing | TypeError: TestFinnhubPacing.test_no_finnhub_call_at_all_when_fmp_has_nothing.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFinnhubPacing | test_every_finnhub_call_is_actually_paced | TypeError: TestFinnhubPacing.test_every_finnhub_call_is_actually_paced.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_launch_hardening | test_theme_warm_is_throttled_and_capped | AssertionError: second immediate poll should be throttled
tests.test_mutation_check.TestRestoreGuarantee | test_the_file_is_byte_identical_after_a_detected_mutation | AssertionError: assert 1 == 0
tests.test_mutation_check.TestVerdicts | test_expect_red_naming_the_right_test_passes | AssertionError: assert 1 == 0
tests.test_mutation_harness_anchors | test_every_mutation_anchor_still_matches_exactly_once[mutation_harness_contract.py] | AssertionError: mutation_harness_contract.py: anchor_check extracted ZERO controls — that is a failed read
tests.test_mutation_harness_anchors | test_every_mutation_anchor_still_matches_exactly_once[mutation_harness_flipgate.py] | AssertionError: mutation_harness_flipgate.py: anchor_check extracted ZERO controls — that is a failed read
tests.test_mutation_harness_anchors | test_every_mutation_anchor_still_matches_exactly_once[mutation_harness_load_model.py] | AssertionError: mutation_harness_load_model.py: anchor_check extracted ZERO controls — that is a failed read
tests.test_mutation_harness_anchors | test_every_mutation_anchor_still_matches_exactly_once[mutation_harness_push_guard.py] | AssertionError: mutation_harness_push_guard.py: anchor_check extracted ZERO controls — that is a failed read
tests.test_mutation_harness_anchors | test_every_mutation_anchor_still_matches_exactly_once[mutation_harness_render_gate.py] | AssertionError: mutation_harness_render_gate.py: anchor_check extracted ZERO controls — that is a failed read
tests.test_mutation_harness_anchors | test_every_mutation_anchor_still_matches_exactly_once[mutation_harness_renderer.py] | AssertionError: mutation_harness_renderer.py has anchors that no longer match exactly once in code:
tests.test_mutation_harness_anchors | test_every_mutation_anchor_still_matches_exactly_once[mutation_harness_stall_record.py] | AssertionError: mutation_harness_stall_record.py: anchor_check extracted ZERO controls — that is a failed read
tests.test_mutation_harness_anchors | test_every_mutation_anchor_still_matches_exactly_once[mutation_harness_symbols.py] | AssertionError: mutation_harness_symbols.py has anchors that no longer match exactly once in code:
tests.test_mutation_harness_anchors | test_a_not_applied_mutation_fails_the_harness_rather_than_printing[mutation_harness_contract.py] | AssertionError: mutation_harness_contract.py has no recognised path from a NOT-APPLIED mutation to a non-zero exit — a proof that did not happen would be printed and the run would still pass. If it uses a FOURTH idiom, add it here with its name rather than loosening the check: ['the `bad` list admits any non-RED verdict', 'an `ok_all` flag cleared on a bad match count', 'an `ok` flag cleared on a bad match count']
tests.test_mutation_harness_anchors | test_a_not_applied_mutation_fails_the_harness_rather_than_printing[mutation_harness_flipgate.py] | AssertionError: mutation_harness_flipgate.py has no recognised path from a NOT-APPLIED mutation to a non-zero exit — a proof that did not happen would be printed and the run would still pass. If it uses a FOURTH idiom, add it here with its name rather than loosening the check: ['the `bad` list admits any non-RED verdict', 'an `ok_all` flag cleared on a bad match count', 'an `ok` flag cleared on a bad match count']
tests.test_mutation_harness_anchors | test_a_not_applied_mutation_fails_the_harness_rather_than_printing[mutation_harness_load_model.py] | AssertionError: mutation_harness_load_model.py has no recognised path from a NOT-APPLIED mutation to a non-zero exit — a proof that did not happen would be printed and the run would still pass. If it uses a FOURTH idiom, add it here with its name rather than loosening the check: ['the `bad` list admits any non-RED verdict', 'an `ok_all` flag cleared on a bad match count', 'an `ok` flag cleared on a bad match count']
tests.test_mutation_harness_anchors | test_a_not_applied_mutation_fails_the_harness_rather_than_printing[mutation_harness_push_guard.py] | AssertionError: mutation_harness_push_guard.py has no recognised path from a NOT-APPLIED mutation to a non-zero exit — a proof that did not happen would be printed and the run would still pass. If it uses a FOURTH idiom, add it here with its name rather than loosening the check: ['the `bad` list admits any non-RED verdict', 'an `ok_all` flag cleared on a bad match count', 'an `ok` flag cleared on a bad match count']
tests.test_mutation_harness_anchors | test_a_not_applied_mutation_fails_the_harness_rather_than_printing[mutation_harness_render_gate.py] | AssertionError: mutation_harness_render_gate.py has no recognised path from a NOT-APPLIED mutation to a non-zero exit — a proof that did not happen would be printed and the run would still pass. If it uses a FOURTH idiom, add it here with its name rather than loosening the check: ['the `bad` list admits any non-RED verdict', 'an `ok_all` flag cleared on a bad match count', 'an `ok` flag cleared on a bad match count']
tests.test_mutation_harness_anchors | test_a_not_applied_mutation_fails_the_harness_rather_than_printing[mutation_harness_stall_record.py] | AssertionError: mutation_harness_stall_record.py has no recognised path from a NOT-APPLIED mutation to a non-zero exit — a proof that did not happen would be printed and the run would still pass. If it uses a FOURTH idiom, add it here with its name rather than loosening the check: ['the `bad` list admits any non-RED verdict', 'an `ok_all` flag cleared on a bad match count', 'an `ok` flag cleared on a bad match count']
tests.test_mutation_harness_hygiene | test_every_mutation_harness_imports_the_shared_guard_and_calls_it_before_any_write | AssertionError: mutation_harness_contract.py does not import the shared guard
tests.test_mutation_harness_hygiene | test_every_instrument_that_can_leave_a_mutation_imports_the_shared_guard | AssertionError: these instruments can write to a working-tree file and do not import the shared guard: ['arrival_census.py', 'canary_scope_readback.py', 'gate_snapshot.py', 'mutation_harness_stall_record.py', 'oi44_cold_paths.py', 'oi44_loop_blockers.py', 'patch_guard.py', 'w8_accuracy_audit.py']. Either call guard()/require_throwaway_worktree(), or add the file to NOT_MUTATORS with the reason it cannot leave a mutation behind.
tests.test_nb_foreign_commits | test_the_tools_own_self_check_passes[args0-0] | AssertionError:   ok   no foreign commits -> 0
tests.test_nb_observe | test_a_5xx_reading_is_SKIPPED_not_an_ANOMALY | AssertionError: bad = [x for x in observed
tests.test_no_cr_in_tracked_text_blobs | test_no_tracked_text_file_is_staged_with_cr_line_endings | AssertionError: these tracked files would be committed with CR line endings, which makes `git blame` attribute the whole file to one commit and turns any concurrent edit into a whole-file conflict:
tests.test_preference_key_validation | test_every_key_the_client_writes_is_still_accepted | AssertionError: unresolved key expressions: ['same']
tests.test_render_token_never_logged | test_scrub_removes_a_token_from_a_real_playwright_error | ModuleNotFoundError: No module named 'edge_scope'
tests.test_requirement_tags | test_every_SERIES_LOOKBACK_entry_is_TAGGED_so_none_can_ship_uncontained | AssertionError: ['valuewhenOccurrence'] declare(s) `lookback: "series"` and NO requirement tag names them. The declaration says the value depends on how much history was loaded; the tag is the only thing that stops that value reaching the screener, the sweep, an alert, a share or a listing, where the defect is invisible. Add the name to `_requirement_tags.<tag>.calls`.
tests.test_requirement_tags | test_a_series_declared_entry_really_is_REFUSED_by_the_comparability_consumers | AssertionError: valuewhenOccurrence is series-declared and `requirement_tags` returns nothing
tests.test_rig_sandbox_never_inside_a_worktree | test_a_sandbox_inside_this_worktree_is_REFUSED | AssertionError: assert '/home/runner/work/UCT-Dashboard/UCT-Dashboard' in 'REFUSED: the rig sandbox would sit inside the git worktree at\n  \\home\\runner\\work\\UCT-Dashboard\\UCT-Dashboard\n... next session decides whether anything touched this checkout.\nSet UCT_RIG_DATA to a directory outside every worktree.'
tests.test_scan_screener_auth | test_the_route_counts_are_what_the_router_SOURCE_declares | AssertionError: {'scans': 16, 'screener': 21}
tests.test_scan_screener_auth | test_every_route_is_paid_except_the_one_admin_route_and_the_one_public_door | AssertionError: api/routers/screener.py mounts 21 routes — one was added or removed. Update EXPECTED_SCREENER_ROUTES DELIBERATELY.
tests.test_scan_screener_auth | test_an_anonymous_caller_is_refused_on_EVERY_route_except_the_public_door | AssertionError: api/routers/screener.py mounts 21 routes — one was added or removed. Update EXPECTED_SCREENER_ROUTES DELIBERATELY.
tests.test_scan_screener_auth | test_a_FREE_member_is_refused_on_EVERY_route_with_THIS_routers_sentence | AssertionError: api/routers/screener.py mounts 21 routes — one was added or removed. Update EXPECTED_SCREENER_ROUTES DELIBERATELY.
tests.test_scan_screener_auth | test_a_PAID_member_still_gets_200_on_EVERY_route | AssertionError: api/routers/screener.py mounts 21 routes — one was added or removed. Update EXPECTED_SCREENER_ROUTES DELIBERATELY.
tests.test_scan_screener_auth | test_an_ADMIN_gets_200_everywhere_including_the_refresh_route | AssertionError: api/routers/screener.py mounts 21 routes — one was added or removed. Update EXPECTED_SCREENER_ROUTES DELIBERATELY.
tests.test_scan_screener_auth | test_a_TRIAL_member_is_treated_as_paid | AssertionError: api/routers/screener.py mounts 21 routes — one was added or removed. Update EXPECTED_SCREENER_ROUTES DELIBERATELY.
tests.test_scan_store | test_the_screener_COLUMN_SET_still_partitions_into_E1s_frozen_manifest | AssertionError: unpartitioned: ['security_type'] / stale: []
tests.test_screener_filters | test_every_filter_FAMILY_is_VISIBLE_in_at_least_one_view | AssertionError: these filter families are filterable but INVISIBLE — no view shows any of their columns: {'type': ['security_type']}
tests.test_screener_filters | test_no_filter_family_is_entirely_invisible | AssertionError: filter families with nothing visible in any view: ['type']
tests.test_screener_saved | test_every_valid_op_declares_its_operands | AssertionError: these ops are legal but declare no operands, so anything reading OP_OPERANDS will KeyError on them: ['not_in']
tests.test_screener_wave1_columndefs | test_every_filterable_and_viewed_column_has_a_def | AssertionError: member-visible columns with no display def: ['security_type']
tests.test_screener_wave2_analyst_store | test_fetch_one_all_four_legs_answer | AssertionError: assert None == {'consensus': 'Buy', 'downgrades_30d': 1, 'eps_next_y_growth': 50.0, 'pt_target': 200.0, ...}
tests.test_screener_wave2_analyst_store | test_fetch_one_pt_target_falls_back_to_median | TypeError: 'NoneType' object is not subscriptable
tests.test_screener_wave2_analyst_store | test_fetch_one_a_raising_leg_nulls_only_its_slice | TypeError: 'NoneType' object is not subscriptable
tests.test_screener_wave2_analyst_store | test_fetch_one_zero_total_consensus_refused_but_other_legs_survive | TypeError: 'NoneType' object is not subscriptable
tests.test_screener_wave2_analyst_store | test_fetch_one_negative_base_growth_is_refused | TypeError: 'NoneType' object is not subscriptable
tests.test_screener_wave2_analyst_store | test_fetch_one_growth_needs_two_distinct_fiscal_years | TypeError: 'NoneType' object is not subscriptable
tests.test_screener_wave2_analyst_store | test_fetch_one_growth_pairs_current_and_next_fy_not_the_payload_edges | TypeError: 'NoneType' object is not subscriptable
tests.test_screener_wave2_analyst_store | test_fetch_one_30day_window_is_boundary_inclusive | TypeError: 'NoneType' object is not subscriptable
tests.test_screener_wave2_analyst_store | test_fetch_one_30day_window_only_counts_upgrade_downgrade_actions | TypeError: 'NoneType' object is not subscriptable
tests.test_screener_wave2_earnings_dates | test_run_pull_earliest_future_date_wins_and_receipt_rows_is_deduped_union | assert 84 == 0
tests.test_screener_wave2_earnings_dates | test_run_pull_malformed_rows_are_skipped_not_fatal | AssertionError: assert {} == {'GOOD': {'da...sion': 'tbd'}}
tests.test_screener_wave2_earnings_dates | test_run_pull_flags_a_chunk_at_the_fmp_row_cap_but_keeps_its_rows | AssertionError: assert [] == ['2026-08-27']
tests.test_screener_wave2_earnings_dates | test_run_pull_et_evening_does_not_discard_a_report_dated_todays_et_date | AssertionError: assert 'TODAYREP' in {}
tests.test_secret_scrub | test_no_credential_in_git_history_of_this_branch | AssertionError: empty diff — the check would pass vacuously
tests.test_shared_data_root_guard | test_the_screener_default_would_still_name_the_live_database | AssertionError: expected the un-pinned resolution to name the shared root, got './data/screener.db'
tests.test_shared_data_root_guard | test_the_literals_no_env_var_can_move_are_named_not_forgotten | AssertionError: the unpinnable derivation stopped discriminating — dropping SCREENER_DB_PATH did not leave /data/screener.db exposed on its own
tests.test_shared_data_root_guard | test_each_newly_pinned_path_still_resolves_to_ITS_OLD_LITERAL_when_unset | AssertionError: an override CHANGED THE PRODUCTION DEFAULT — with nothing set the product must resolve exactly what the bare literal did:
tests.test_shared_data_root_guard | test_no_shared_root_literal_sits_in_a_function_that_reads_no_env_var | AssertionError: a new /data literal now sits in a function that reads no env var — the redirect cannot reach it:
tests.test_shared_state_landmines | test_no_test_module_binds_into_sys_modules_at_import_time | AssertionError: import-time sys.modules bind(s) — install AND remove it in a fixture, or delete the stub if the reason for it has expired:
tests.test_spa_head_reachability | test_the_spa_catch_all_answers_head_as_well_as_get | AssertionError: the SPA catch-all route is gone -- this rail is pointing at nothing
